,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,Acquired,Acquisition type,Acquisition year
Tata Investment Corpn. Ltd.,,0.08,79.91,0.03,12.53,12.37,16489.7,36.56,48.66,0,,0.03,79.37,0.04,9.08,9.01,20661,2.19,2.61,0,,0.09,80.88,0.05,8.57,8.55,22094.4,1.44,1.79,0,,0.07,79.5,0.04,8.84,8.83,23317.5,1.54,1.54,0,,0.08,79.78,0.04,8.85,8.85,24468.2,0.72,0.72,0,,0.09,80.1,0.04,9.24,9.24,24543.5,1.1,1.1,0,,0.09,74.33,0.03,8.65,8.65,27051.6,1.87,1.87,0,,0.03,78.68,0.01,5.05,5.04,100259.9,1.05,1.05,0,,0.04,81.03,0.01,6.11,6.11,97015.4,1.01,1.01,0,,,,,,,,,,,,,,,,,,,,,Yes,Acquisition of Shares,Nov-18
Tata Motors Finance Ltd.,0.6,0.02,64.28,0.04,4.61,3.86,1567.1,45,45.65,0,1.1,0.11,68.46,-0.07,4.21,4.05,1633.2,17.92,18.22,0,0.9,0.16,70.95,-0.03,3.92,3.79,1696.4,11.45,11.79,0,0.9,0.17,76.62,0.03,4.71,4.63,1775.7,16.92,17.32,0,0.9,0.12,78.04,0.06,8.86,8.84,1938.8,32.43,32.76,0,,0.03,74.46,0.12,5.68,5.64,2051.7,9.08,9.86,0,,0.87,9,-0.01,2.89,-0.35,191564.8,0.13,0.14,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Acquisition of Shares,Mar-16
Tata Motors Finance Solutions Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,-400,2.25,,,5.1,24,24,0,,0.64,-97333.33,0,-3.97,-0.88,67044.1,1.52,1.52,3.53,,0.58,1.2,0.24,0.52,-0.16,55083.8,1.34,1.35,2.68,,0.62,-53.02,0.25,-36.83,-1.82,57555.3,0.95,0.95,3.02,,0.61,-14.01,-0.08,-5.74,-2.4,49944.6,0.23,0.23,3.5,,0.86,15.44,-0.23,8.97,1.03,70964.6,0.21,0.21,4.83,,0.83,22.61,0.09,14.13,1.96,64171.4,0.16,0.16,3.66,,0.84,23.24,-0.21,13.54,2.65,83327.3,0.41,0.41,4.27,No,,
Tata Pension Mgmt. Ltd.,,0,,-0.17,-18.18,-18.18,0.6,0,0,0,,0,,-0.17,-18.18,-18.18,0.6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Tata Power Jamshedpur Distribution Ltd.,,,,,,,,,,,,,,,,,,,,,,0,,-0.01,,,30.4,0.62,0.62,,,0.08,-2652.63,-1.81,,-900,22,0.09,0.09,,,0.14,-20600,-0.97,,,15.8,0.01,0.01,,,0.13,,0,,,15.6,0.01,0.01,,,0.04,,-0.02,,,14.8,0.06,0.06,,,0.06,-14.29,-0.36,,,10.9,0.14,0.14,,,0.06,,-0.01,,,10.8,0.13,0.13,,,0.02,0,0.04,,,10.8,0.15,0.15,,,0.02,0,0,,,10.8,0.15,0.15,,No,,
Tata Securities Ltd.,,0.35,-32.88,-0.08,-35.59,-18.18,632.5,0.24,0.26,1.6,,0.3,-63.31,0,-71.14,-28.18,568.2,0.58,0.64,0.56,,0.2,-36.48,0.01,-46.32,-32.34,10170.6,0.8,0.8,0.24,,0.16,-48.59,0,-108.68,-48.95,2035.8,0.84,0.85,4.41,,0.36,11.21,0.19,57.38,3.74,884.1,0.89,0.93,1.92,15.3,0.46,-53.9,-0.43,-289.6,-41.74,645,0.65,0.69,,,0.69,7.1,0.18,,6.89,398.4,1.28,1.29,,,0.2,32.27,0.25,719.02,34.02,282.3,1.98,1.98,8.38,,0.17,64.69,0.07,60.47,7.92,283.8,5.51,5.51,0,,0.17,20.96,-0.02,3.94,3.94,292.3,6.06,6.06,0,,0.13,-29.95,-0.03,-7.59,-3.89,268.3,10.92,10.92,0,No,,
Tata Sons Pvt. Ltd.,3262.2,0.01,66.84,-0.01,16.03,8.93,401661.7,0.36,0.39,0.78,3891.1,0.01,66.57,0,13.81,7.8,430811.2,0.54,0.57,0.71,3835,0.01,64.55,0,14.54,8.13,509467.7,1.26,1.27,0.77,4710.8,0.01,56.24,0,10.8,6.6,524125.2,1.59,1.59,0.71,4499.8,0.01,68.5,0,27.01,19.6,604278.9,2.64,2.64,0.54,4430.9,0.01,37.18,-0.01,7.78,8.65,614792.3,2.82,2.83,0.5,5549.2,0.01,8.04,-0.01,2.05,11.15,721020.2,1.3,1.31,0.51,5941.4,0.01,2.69,0.1,2.1,1.68,736032.2,0.89,0.9,0.64,8129.1,0.01,5.65,0.1,2.63,2.1,786550.3,0.37,0.42,0.73,4896.9,0.01,10.64,0.25,6.01,13.32,910294.9,0.34,0.36,0.69,4896.9,0.01,10.64,0.25,6.01,13.32,910294.9,0.34,0.36,0.69,No,,
Tata Steel Special Economic Zone Ltd.,,0,0,0,0,0,105.2,3.02,3.02,0,,0,,0,-0.07,-0.07,226.8,0.02,0.02,0,,0,,-0.09,-0.74,-0.74,247.8,0.05,0.05,0,,0,,-0.09,-0.08,-0.08,248.5,2.43,2.43,0,,0,,0.1,-3.71,-3.71,366,0.51,0.51,0,,0.25,-110.53,0.36,-1.04,-1.04,932.2,7.15,7.15,0,2.5,0.46,-211.29,0.07,-1.18,-1.12,1592.5,0.37,0.37,0.08,3.8,0.08,-403.53,-0.08,-2.44,-2.36,1568,7.79,7.79,0,3.8,0.4,-747.37,-0.06,-1.9,-1.86,4736.1,7.44,7.44,0.03,4,0.02,-1535.09,0,-4.28,-4.02,4368,0.26,0.26,0.1,112,0.02,-58.44,0,-1.82,-1.61,4668.1,0.17,0.17,0.16,No,,
Tata Trustee Co. Ltd.,,0.1,60.42,0.05,115.7,115.7,56.8,2.12,2.12,0,78.9,0.02,64.65,0.3,,,136.6,3.86,3.86,0,70.7,0.26,64.17,0.24,44.25,44.25,198.4,1.85,1.85,0,80.3,0.32,64.89,0.15,43.47,43.47,247.5,1.52,1.52,0,47.5,0.2,55.89,0.27,20.47,20.26,212.2,2.29,2.29,0,68.7,0.18,54.72,0.06,36.59,36.42,224.5,1.95,1.95,0,78.6,0.31,59.52,0.13,47.88,47.88,216,78.89,78.89,0,67.5,0.04,55.42,0.27,26.36,26.36,168.5,57.14,57.14,0,57.8,0.05,52.25,0.2,20.51,20.02,170.3,39.48,39.48,0,61.4,0.06,51.62,0.2,25,24.93,134.8,35.22,35.22,0,61.4,0.06,51.62,0.2,25,24.93,134.8,35.22,35.22,0,No,,
Tatia Global Venture Ltd.,,0.05,-1120,-0.01,-2.18,-2.18,271.6,50.11,50.11,0,,0.04,-1800,0.08,-2.06,-2.06,267.8,261.22,261.22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Acquisition of Shares,Sep-11
Tatiya Andhra Mega Power Ltd.,,0.68,0,-0.66,0,0,194.1,0.62,0.62,363.2,,0.58,0,0.01,0,0,230.5,0.05,0.05,400.2,,0.49,0,0.07,0,0,247.5,0,0,400.2,,0.6,0,0.02,0,0,197.2,0.4,0.4,322.6,,0.57,0,0,0,0,205.3,0.43,0.43,322,,0.57,0,0,0,0,205.3,0.43,0.43,322,,0.7,0,0,,,214.8,0.3,0.3,0,,0.68,0,0,0,0,219.9,0.32,0.32,0,,0.66,0,0,0,0,226,0.34,0.34,0,,,-9.09,,-200,-200,,,,,,,-9.09,,-200,-200,,,,,No,,
Tato Hydro Power Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,100,0,,,672.9,0.16,0.18,0,,0.03,-833.33,0,-0.4,-0.43,695.9,0.01,0.03,0.08,,0.05,,-0.12,-10.88,-9.38,373.1,0.01,0.02,0.36,,0.05,,-0.1,-8.35,-7.26,373.1,0.26,1.57,0,,0.04,,-0.06,-6.3,-6.13,368.5,0.01,0.3,0.06,,0.82,,-0.92,-253.96,-214.44,18.1,0,0.18,,,0.06,42,-1.15,,,3.3,0,0,,,0.03,,0,,-26.09,3.1,0,0,,No,,
Taurus Asset Mgmt. Co. Ltd.,,0.19,0.16,0,0.35,1.95,180.3,1.13,1.32,0.1,,0.25,0.11,0,0.26,0.08,157.5,1.13,1.21,0.09,,0.26,-41.49,0,-53.4,-51.32,151.4,1.98,2.02,0,,0.2,-7.69,-0.06,-9.39,-9.41,156.5,2.29,3.07,0.03,,0.32,31.91,0,45.61,44.86,251.4,4.86,7.41,0.02,,0.44,40.83,-0.2,48.82,47.52,367.2,5.12,11.73,0.01,,0.54,24.37,-0.31,14.08,14.01,544.9,6.37,15.63,0,,0.6,9.78,-0.13,3.2,3.21,565.5,4.99,13.42,0,,0.49,-7.34,-0.04,-1.66,-3.12,675.7,7.12,7.12,0,,0.58,-61.4,-0.04,-11.17,-11.53,585.7,1.91,1.91,0,,0.61,32.71,-0.08,8.6,8.57,617,3.33,3.33,0,No,,
Taurus Finvest Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,-0.03,,,16,1.33,17.33,0,,0.53,0,0.02,0,0,16.1,2.33,18.33,0,,0.53,0,0,0,0,16,2,18,0,,0.52,40,-0.01,1.27,1.27,16.4,0.8,11.6,0,,0.48,50,0.07,2.48,2.48,16.8,4.2,13.4,0,,0.5,,0,-5.05,-5.02,16.1,1.29,8.57,0.01,,0.5,,0,-5.05,-5.02,16.1,1.29,8.57,0.01,No,,
Taurus Treasury Mgmt. Services Pvt. Ltd.,,,,,,,,,,,,0,0,0,,,0.2,2,2,0,,0.14,61.86,0,56.6,56.6,23.4,7.48,9.3,0,0.8,0.01,19.15,0.24,8.16,8.16,24.8,9.94,9.94,0,0.9,0.01,22.73,-0.37,6.32,6.32,26.3,6.13,11.88,0,0.5,0.01,10.81,-0.1,1.62,1.62,26.4,5.42,16.17,0,0.7,0.06,10.87,0.06,3.94,3.94,31.1,1.27,4.67,0,0.5,0.05,22.06,-0.06,5.62,5.62,32.2,0.79,5.26,0,,0.05,2,-0.02,0.36,0.36,33.1,0.65,4.54,0,,0.06,18.52,0.13,1.8,1.44,29.6,5.42,16.75,0.01,,0.06,18.52,0.13,1.8,1.44,29.6,5.42,16.75,0.01,No,,
Taximen'S Finance & Leasing Ltd.,,0.83,33.33,-0.11,5.33,5.33,4.7,1,1,0,,0.87,28.57,0.02,5.13,5.13,4.7,1,1,0,,0.86,37.5,0,7.5,7.5,5.1,0.78,0.78,0,,0.86,37.5,0,7.5,7.5,5.1,0.78,0.78,0,,0.81,37.5,0.09,,,5.3,0.91,4.82,0,,0.34,37.5,0.02,4.11,2.74,12,7.09,10.82,0,,0.52,42.86,-0.27,5.84,5.19,22.3,5.35,11.1,0,,0.87,53.33,-0.3,7.86,7.86,23.2,1.26,10.04,0,,0.94,58.82,-0.01,9.66,9.66,24.5,0.47,8.17,0,,0.94,58.14,0,11.66,11.66,25.6,0.52,8.83,0,,0.94,58.14,0,11.66,11.66,25.6,0.52,8.83,0,No,,
Taxsmile.Com India Pvt. Ltd.,14.2,0.04,11.24,-0.46,,27.66,128.1,2.19,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Tayo Rolls Ltd.,1452.3,0.08,-20.65,-0.03,-48.23,-15.01,3132.6,0.3,0.55,3.48,1510.2,0.07,-34.31,0,-251.87,-24.59,3264,0.48,0.75,,1946.1,0.08,-16.85,-0.03,,-16.82,3135.3,0.32,0.59,,1665.9,0.09,-44.79,-0.1,,-29.77,2986.8,0.43,0.71,,1562.5,0.11,-42.92,-0.08,,-33.68,2921.1,0.29,0.6,,1400.3,0.15,-110.6,-0.08,,-154.98,1700.8,0.18,0.35,,466.4,0.2,-147.7,-0.14,,-875.5,1062,0.09,0.12,,3.5,0.24,-356.39,-0.24,,,871.4,0.1,0.14,,,0.38,-2320.93,-0.05,,,891.4,0.09,0.14,,,0.37,-1687.23,0,,,907.9,0.12,0.17,,,0.37,-1687.23,0,,,907.9,0.12,0.17,,No,,
Tea Consultancy & Plantation Services (India) Pvt. Ltd.,,,,,,,,,,,0.3,0.33,25,0,,,0.9,,,0,0.1,0,-50,0,-12.5,-12.5,0.7,,,0,,0,0,-0.14,0,0,0.7,,,0,,0,0,-0.13,0,0,0.8,,,0,,0,0,0,0,0,0.8,,,0,,0,0,0,0,0,0.7,,,0,,0,0,0,0,0,0.8,,,0,,0,0,0,0,0,0.8,,,0,,0,0,-0.14,0,0,0.7,,,0,,0,0,-0.14,0,0,0.7,,,0,No,,
Tea Time Ltd.,,0.53,61.9,-0.01,4.32,4.32,294.6,4.04,11.82,0,,0.74,61.85,-0.35,7.01,6.49,369.7,0.5,4,0.15,,0.74,40.41,0.06,3.9,3.62,342.8,1.18,7.77,0,,0.72,21.7,-0.05,1.64,1.64,357.6,1.25,6.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Acquisition of Shares,Jun-13
Tecalemit Industries Ltd. [Merged],2.7,0.02,-3.7,0,-0.46,-0.46,29.7,0.17,0.22,0,3.4,0.02,-8.82,0,-1.4,-1.39,29,0.1,0.19,0.02,4.1,0.02,0,0,0,0,29.4,0.16,0.24,0,2.6,0.03,55.84,0.14,18.42,-2.99,34.1,0.15,0.26,0,2.6,0.04,-673.08,-0.03,-104.48,-103.24,16.4,0.12,0.19,0.05,1.1,0.04,-245.45,-0.11,-40.91,-33.75,15.7,0.09,0.1,0.46,,0.03,,0.36,-26.09,-20.34,20.5,0.05,0.05,0.05,,0.03,,0.36,-26.09,-20.34,20.5,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Techdrive Software Ltd.,,,,,,,,,,,,0,100,0,,,18.7,,,0,,0,100,0,5.71,5.71,19.8,,,0,,0,100,0,5.41,5.41,20.9,,,0,,0,100,0,5.41,5.41,20.9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Techindia Nirman Ltd.,159.2,0.21,6.7,0.04,,15.87,378.8,0.01,0.33,,16.7,0.22,0.46,0.09,,1.95,383.6,0,0.34,,6.7,0.05,0.64,0.23,,15.69,287.8,0.06,0.14,,,0.03,-3050,-0.22,,,278.5,0.04,0.04,,,0.07,91.8,-0.04,,-6.65,289.2,0.01,0.01,,,0.11,-666.67,-0.04,,-5.27,300.7,0,0,,,0.15,-660,-0.03,-8.07,-2.44,273.1,0.29,0.32,0.8,,0.64,-67.44,-0.59,-1.96,-1.57,649.6,0.01,0.77,3.41,,0.63,-312.5,0,-1.72,-0.5,668.8,0,0.81,3.64,,0.61,,0,-4.26,-0.89,681.5,0,0.78,3.94,,0.61,-1566.67,-0.02,-3.51,-0.68,699.5,0.01,0.76,4.37,No,,
Techmart Broking Co. Pvt. Ltd.,,0.73,25.88,0,4.78,1.75,1336.2,0.1,0.1,3.28,,0.6,-3.24,0,-0.23,-0.14,950.8,0.1,0.1,1.99,,0.6,-25750,0,-18.85,-6.03,862.3,0.24,0.24,2.3,,0.54,,0.19,-3.33,-0.25,735,0.18,0.18,1.89,,0.5,,0.12,-0.63,-0.23,641.9,0.19,0.19,1.58,,0.54,-10.07,0.05,-1.82,-8.23,538.8,0.08,0.08,1.26,,0.51,,0.08,-13.82,-6.12,498.2,0.07,0.07,1.25,,0.51,-11533.33,0.04,-18.59,-8.07,465.2,0,0,1.41,,0.44,,0,-33.14,-12.53,408.1,0,0,1.97,,0.52,,0,-205.03,-41.1,342.7,0,0,,,0.52,,0,-205.03,-41.1,342.7,0,0,,No,,
Technica Valves Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Technicast Engineers Ltd.,32.9,0.05,1.55,0,2.52,-6.98,67.2,2.05,2.05,1.55,32.9,0.05,1.55,0,2.52,-6.98,67.2,2.05,2.05,1.55,,,,,,,,,,,,,,,,,,,,,,0.29,-300,0,,,3.1,0.27,0.27,0.58,,0.68,,-0.11,-566.67,-161.9,1.9,0.82,0.82,,,0.63,,0,,-66.67,1.9,0.78,0.78,,,0.71,0,-0.06,,0,1.7,0.87,0.87,,,0.71,0,0,,0,1.7,0.87,0.87,,,0.71,0,0,,0,1.7,0.87,0.87,,,,,,,,,,,,No,,
Techno Finance Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Techno Shares & Stocks Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.14,0.13,,,407.9,1.09,1.09,0.08,,0.1,4.03,-0.11,3.61,2.04,482.9,1.05,1.05,0.35,,0.1,4.03,-0.11,3.61,2.04,482.9,1.05,1.05,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Technocraft Global Holdings Ltd.,,0.05,59.5,0,3.08,4.77,795.9,65.43,65.43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Technopolis Knowledge Park Ltd.,,0,0,0,0,0,0.4,2,2,0,,0,0,0,0,0,0.4,4,4,0,,0,0,0,0,0,0.4,4,4,0,,0.5,0,0,0,0,0.4,4,4,0,,0.33,0,0,0,0,0.3,3,3,0,,0.33,0,0,0,0,0.3,2,2,0,,0.67,0,0,0,0,0.3,1,1,0,,0,,-1,-200,-200,0.1,1,1,,,0,0,0,,,0.2,1,1,,,0,0,0,,,0.2,1,1,,,,,,,,,,,,No,,
Techon Commercial Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,6.06,0,,,472.1,0.07,9.25,0.05,,0.75,1.13,0,0.05,0.23,499.3,0.02,6.4,0,,0.94,4.13,0,0.21,0.21,427.2,1.67,87.1,0,,0.99,4.33,0,0.21,0.19,428.1,1.77,88.48,0,0.8,0.94,4.21,0,0.21,0.21,428.1,7,107.85,0.01,,0.92,4.44,0,0.31,0.26,430,8.13,93.89,0.01,,0.92,4.44,0,0.31,0.26,430,8.13,93.89,0.01,No,,
Tecil Chemicals & Hydro Power Ltd.,,0.08,-121.88,0.05,-24.92,-26.27,255.4,0.2,0.29,0,1,0.28,-8.69,-2.39,-33.62,-386.85,73.4,0.02,0.02,0.16,,0.5,-228.92,0.19,,,156.4,0.18,0.18,,,0.46,-105.16,0.03,,,112.8,0.09,0.12,,,0.48,-63.01,-0.06,,,100.9,0.01,0.05,,,0.42,-80.95,-0.04,,,87.3,0.05,0.09,,,0.33,-428.57,-0.09,,,73.4,0.07,0.21,,,0.41,,-0.22,,,63.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Acquisition of Shares,Mar-17
Tecpro Energy Ltd.,,0,-200,-0.3,-20,-20,1,1,1,0,,0,-31.25,-1.6,-76.92,-285.71,1,1.67,1.67,0.25,,0,-31.25,-1.6,-76.92,-285.71,1,1.67,1.67,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Tee Kay Finvest Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Teeaye Investments Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Teem Laboratories Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Tefal India Household Appliances Pvt. Ltd. (Delhi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,-241.67,-0.41,-20.14,-20.83,15.4,2.3,2.3,0,,0.26,-250,0.54,-7.19,-7.19,14.6,8.92,8.92,0,,0.24,-150,-0.06,-2.26,-2.26,13.4,33.67,33.67,0,,0.26,,-0.08,-12.15,-8.1,12.3,30.33,30.33,0,,0.25,,-0.04,-4.41,-4.41,11.4,28.67,28.67,0,,0.23,-22.22,-0.03,-1.82,-10,11.7,14.62,14.62,0,,0.23,-22.22,-0.03,-1.82,-10,11.7,14.62,14.62,0,No,,
Tehri Steels Ltd.,94.4,0.55,-3.13,0,-5.98,-0.81,59.5,2.1,2.1,0.04,94.4,0.55,-3.13,0,-5.98,-0.81,59.5,2.1,2.1,0.04,,,,,,,,,,,,0.39,34.78,0.25,,,54.6,6.65,16.6,0,0.8,0.32,43.48,0.09,1.89,1.89,55.8,6.18,14.09,0,1.2,0.34,52,0.01,2.4,2.4,55.4,18.67,49.67,0,1.2,0.36,33.33,0.03,1.63,1.63,56.5,15.14,43.57,0,1.2,0.45,87.01,-0.06,21.47,1.92,70.1,15.56,49.56,0,0.3,0.46,23.53,0.03,1.15,2.3,73.6,4.19,13.39,0,,0.49,0,-0.02,0,-0.14,72.5,,,0,,0.49,0,-0.02,0,-0.14,72.5,,,0,No,,
Tejas India Solar Energy Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.93,,,90.5,0,0.01,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Acquisition of Shares,May-15
Tejkamal Pharmaceuticals Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.6,0.04,-9.6,0,,,243.1,0.26,0.86,,108.1,0.04,-32.04,0.08,,-22.53,237.6,0.07,0.58,,98,0.07,-46.09,0,,-35,228.7,0.06,0.42,,44.6,0.73,39.8,0,,-82.44,15.6,0.38,0.78,,,0.68,,0,,,5.6,0.18,0.29,,,0.97,-7900,0,,,3.7,0.05,0.12,,,0.93,50,0,,-6.9,3,1,26,,,0.93,50,0,,-6.9,3,1,26,,No,,
Tekelec Systems India Pvt. Ltd.,,,,,,,,,,,,0.07,14.61,0,,,250,2.22,2.3,0,,0.14,16.49,0,37.51,37.51,341.3,2.78,2.78,0,144.1,0.2,10.29,0,7.47,13.82,240.1,,,0,,0.18,55.93,0,6.1,10.86,255.3,,,0,,0.17,66.91,0,7.03,7.03,273.8,,,0,,0.06,68.06,0.14,7.99,7.99,307.3,,,0,,0.06,74.22,0,6.21,6.21,322.2,,,0,,0.04,72.31,0,6.79,6.79,337.9,,,0,,0.04,72.31,0,6.79,6.79,337.9,,,0,,,,,,,,,,,No,,
Tel-Abridge (Intl.) Ltd.,,0.76,,0,-0.34,-0.34,60.8,0.28,0.28,0.01,,0.77,-200,0,-0.34,-0.34,60.6,0.28,0.28,0.01,,0.77,,0,-0.34,-0.34,60.6,0.32,0.32,0.02,,0.77,,0,-0.34,-0.34,60.6,0.32,0.32,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Telco Dadajee Dhackjee Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Telco Dealers Leasing & Finance Co. Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Telecom Finance (India) Ltd.,,0.97,-12.82,0,-0.67,-0.21,104.9,0.01,0.18,0.26,,0.98,-35.14,0,-1.77,-1.4,104.1,0.01,0.18,0.27,,0.98,-17.14,0,-0.83,-0.54,95.1,0.03,0.64,0.27,,0.93,42.86,0,2.06,1.9,98.1,0,1.14,0.32,,0.93,42.86,0,2.06,1.9,98.1,0,1.14,0.32,,0.95,0,0,,,96.5,0.03,0.58,0.32,,0.96,-29.17,0,-0.97,-0.74,94.4,0,0.68,0.3,,0.96,0,0,0,-0.11,95,0.08,0.5,0.3,,0.97,,0,-4.13,-3.14,92.9,0.02,0.37,0.34,,0.97,,0,-1.61,-1.2,92,0.04,0.38,0.35,,0.97,,0,-1.61,-1.2,92,0.04,0.38,0.35,No,,
Telecom Financial Services Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Telephone Cables Ltd.,,0.34,,0,,-2.24,283.1,0.04,0.43,,,0.32,,0,,-0.57,283,0.07,0.24,,,0.32,,0,,-0.34,300.7,0.32,0.96,,,0.31,83.13,0,,1.51,305.2,0.38,1.02,,,0.31,83.13,0,,1.51,305.2,0.38,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Telesia Trading & Finance Ltd.,,0.07,67.72,0.19,27.79,27.79,38.7,3.88,11.38,0,,0,66.67,-0.23,3.34,3.34,37.1,2.5,61.83,0,,0.07,69.41,0.17,14.94,14.94,44.9,5.13,18.71,0,,0.01,68.18,0.37,3.48,3.48,44.3,53.6,88.6,0,,0.01,68.18,0.37,3.48,3.48,44.3,53.6,88.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
